"Table1.1.4._NER for ECCE, by sex and province– 2018, 2019, 2020",,,,,,,,,,,,,,,,,,,
Province,School Type,2018,,,2019,,,2020,,,,,,,,,,,
,,Female,Male,Total,Female,Male,Total,Female,Male,Total,,,,,,,,,
Torba,ECCE,92%,82%,87%,73%,67%,70%,61%,63%,62%,,,,,,,,,
Sanma,ECCE,69%,68%,68%,77%,68%,73%,69%,66%,68%,,,,,,,,,
Penama,ECCE,58%,61%,60%,65%,56%,60%,66%,64%,65%,,,,,,,,,
Malampa,ECCE,67%,69%,68%,76%,70%,73%,72%,72%,72%,,,,,,,,,
Shefa,ECCE,60%,63%,61%,66%,65%,65%,64%,65%,65%,,,,,,,,,
Tafea,ECCE,60%,61%,60%,63%,60%,62%,63%,66%,65%,,,,,,,,,
NER Overall,ECCE,64%,65%,64%,69%,65%,68%,66%,66%,66%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,ECCE,Primary School (1-6),Secondary School (7+),total,,,,,,,,,,,,,,,
Torba,41,27,4,72,,,,,,,,,,,,,,,
Malampa,123,84,21,228,,,,,,,,,,,,,,,
Penama,109,62,14,185,,,,,,,,,,,,,,,
Sanma,164,89,15,268,,,,,,,,,,,,,,,
Shefa,128,92,28,248,,,,,,,,,,,,,,,
Tafea,127,74,21,222,,,,,,,,,,,,,,,
National,692,428,103,1223,,,,,,,,,,,,,,,
% share,57,35,8,100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Province,PreSchool ,PreSchool Total,1,2,3,4,5,6,Primary School Total,7,8,9,10,11,12,13,14,Secondary School Total,Total
Torba,654,654,349,332,362,336,363,309,2051,212,162,129,92,24,20,5,,644,3349
F,317,317,179,147,182,168,192,167,1035,105,91,67,41,16,10,3,,333,1685
M,337,337,170,185,180,168,171,142,1016,107,71,62,51,8,10,2,,311,1664
Sanma,3731,3731,2029,2092,2162,2475,1914,1617,12289,1344,1114,1016,873,540,442,324,33,5686,21706
F,1758,1758,955,1038,1038,1174,916,775,5896,659,563,518,455,288,243,174,17,2917,10571
M,1973,1973,1074,1054,1124,1301,998,842,6393,685,551,498,418,252,199,150,16,2769,11135
Penama,2061,2061,1406,1175,1215,1190,990,888,6864,620,532,429,411,150,141,83,,2366,11291
F,977,977,663,536,571,599,460,435,3264,306,277,221,205,85,79,53,,1226,5467
M,1084,1084,743,639,644,591,530,453,3600,314,255,208,206,65,62,30,,1140,5824
Malampa,2276,2276,1490,1463,1455,1533,1467,1208,8616,945,796,687,523,151,133,67,,3302,14194
F,1133,1133,729,687,702,722,703,597,4140,466,404,350,313,78,76,37,,1724,6997
M,1143,1143,761,776,753,811,764,611,4476,479,392,337,210,73,57,30,,1578,7197
Shefa,4983,4983,2718,3000,2943,2806,2701,2363,16531,2009,1829,1534,1466,1150,1128,829,199,10144,31658
F,2406,2406,1283,1435,1360,1329,1289,1190,7886,964,930,769,778,661,612,469,112,5295,15587
M,2577,2577,1435,1565,1583,1477,1412,1173,8645,1045,899,765,688,489,516,360,87,4849,16071
Tafea,2867,2867,1878,1925,1962,1854,1789,1375,10783,964,796,725,543,267,166,100,,3561,17211
F,1380,1380,885,946,950,832,821,623,5057,449,383,351,245,135,81,51,,1695,8132
M,1487,1487,993,979,1012,1022,968,752,5726,515,413,374,298,132,85,49,,1866,9079
Grand Total,16572,16572,9870,9987,10099,10194,9224,7760,57134,6094,5229,4520,3908,2282,2030,1408,232,25703,99409
,,,,,,,,,,,,,,,,,,,
"0.3 Number of teachers by province, Sex and level of education in 2021 ",,,,,,,,,,,,,,,,,,,
,,ECE,PS,PSET,SC,SS,Grand Total,,,,,,,,,,,,
Torba,Total,65,83,,,19,167,,,,,,,,,,,,
,F,50,44,,,10,104,,,,,,,,,,,,
,M,15,39,,,9,63,,,,,,,,,,,,
Sanma,Total,269,458,8,,256,991,,,,,,,,,,,,
,F,261,285,5,,101,652,,,,,,,,,,,,
,M,8,173,3,,155,339,,,,,,,,,,,,
Penama,Total,160,178,5,,86,429,,,,,,,,,,,,
,F,154,94,1,,33,282,,,,,,,,,,,,
,M,6,84,4,,53,147,,,,,,,,,,,,
Malampa,Total,248,316,3,,122,689,,,,,,,,,,,,
,F,242,163,,,52,457,,,,,,,,,,,,
,M,6,153,3,,70,232,,,,,,,,,,,,
Shefa,Total,246,526,139,,302,1213,,,,,,,,,,,,
,F,239,336,50,,153,778,,,,,,,,,,,,
,M,7,190,89,,149,435,,,,,,,,,,,,
Tafea,Total,249,303,8,,99,659,,,,,,,,,,,,
,F,244,148,4,,42,438,,,,,,,,,,,,
,M,5,155,4,,57,221,,,,,,,,,,,,
Unknown,Total,,,,270,,270,,,,,,,,,,,,
,F,,,,103,,103,,,,,,,,,,,,
,M,,,,167,,167,,,,,,,,,,,,
Grand Total,Grand Total,1237,1864,163,270,884,4418,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 1.1.6.A Age distribution, by sex, and province – 2018, 2019, 2020",,,,,,,,,,,,,,,,,,,
,Torba,,,Sanma,,,Penama,,,Malampa,,,Shefa,,,Tafea,,,Vanuatu
Year,F,M,Total,F,M,Total,F,M,Total,F,M,Total,F,M,Total,F,M,Total,
2018,  422 ,  394 ,  816 ,"  1,838 ","  1,825 ","  3,663 ",  886 ,  927 ,"  1,813 ","  1,095 ","  1,125 ","  2,220 ","  2,184 ","  2,404 ","  4,588 ","  1,305 ","  1,393 ","  2,698 ","  15,798 "
0,,,,2,,2,,,,,,,,1,1,,,,3
1,1,1,2,8,7,15,1,2,3,2,1,3,,1,1,2,2,4,28
2,13,15,28,80,47,127,30,25,55,18,15,33,50,52,102,21,32,53,398
