Year,Age,Province,Female,Male,Total
2018,0,Sanma,2,0,2
2018,1,Torba,1,1,2
2018,1,Sanma,8,7,15
2018,1,Penama,1,2,3
2018,1,Malampa,2,1,3
2018,1,Shefa,0,1,1
2018,1,Tafea,2,2,4
2018,2,Torba,13,15,28
2018,2,Sanma,80,47,127
2018,2,Penama,30,25,55
2018,2,Malampa,18,15,33
2018,2,Shefa,50,52,102
2018,2,Tafea,21,32,53
2018,3,Torba,96,84,180
2018,3,Sanma,454,442,896
2018,3,Penama,255,253,508
2018,3,Malampa,284,272,556
2018,3,Shefa,550,563,1113
2018,3,Tafea,421,447,868
2018,4,Torba,159,149,308
2018,4,Sanma,673,711,1384
2018,4,Penama,364,378,742
2018,4,Malampa,548,540,1088
2018,4,Shefa,937,1006,1943
2018,4,Tafea,582,631,1213
2018,5,Torba,132,131,263
2018,5,Sanma,424,463,887
2018,5,Penama,194,223,417
2018,5,Malampa,224,273,497
2018,5,Shefa,531,624,1155
2018,5,Tafea,231,232,463
2018,6,Torba,19,13,32
2018,6,Sanma,92,99,191
2018,6,Penama,30,31,61
2018,6,Malampa,15,19,34
2018,6,Shefa,77,101,178
2018,6,Tafea,21,33,54
2018,7,Torba,2,1,3
2018,7,Sanma,55,39,94
2018,7,Penama,6,9,15
2018,7,Malampa,3,2,5
2018,7,Shefa,31,36,67
2018,7,Tafea,15,6,21
2018,8,Torba,0,0,0
2018,8,Sanma,13,9,22
2018,8,Penama,3,3,6
2018,8,Malampa,2,2,4
2018,8,Shefa,8,8,16
2018,8,Tafea,2,5,7
2019,1,Torba,1,0,1
2019,1,Sanma,2,7,9
2019,1,Penama,0,1,1
2019,1,Shefa,0,3,3
2019,1,Tafea,1,1,2
2019,2,Torba,7,7,14
2019,2,Sanma,44,43,87
2019,2,Penama,5,6,11
2019,2,Shefa,11,11,22
2019,2,Tafea,11,11,22
2019,3,Torba,79,91,170
2019,3,Sanma,454,442,896
2019,3,Penama,275,308,583
2019,3,Shefa,302,277,579
2019,3,Tafea,547,586,1133
2019,4,Torba,123,128,251
2019,4,Sanma,825,786,1611
2019,4,Penama,403,378,781
2019,4,Shefa,551,529,1080
2019,4,Tafea,937,1006,1943
2019,5,Torba,119,108,227
2019,5,Sanma,424,480,904
2019,5,Penama,205,198,403
2019,5,Shefa,329,331,660
2019,5,Tafea,531,624,1155
2019,6,Torba,45,49,94
2019,6,Sanma,57,61,118
2019,6,Penama,19,20,39
2019,6,Shefa,15,19,34
2019,6,Tafea,50,84,134
2019,7,Torba,9,9,18
2019,7,Sanma,26,25,51
2019,7,Penama,3,5,8
2019,7,Shefa,10,12,22
2019,7,Tafea,7,9,16
2019,8,Torba,2,0,2
2019,8,Sanma,15,10,25
2019,8,Penama,1,1,2
2019,8,Shefa,3,4,7
2019,8,Tafea,2,5,7
2019,9,Torba,0,1,1
2019,9,Sanma,1,0,1
2019,9,Penama,0,1,1
2019,9,Shefa,1,1,2
2019,9,Tafea,0,1,1
2020,1,Torba,0,2,2
2020,2,Torba,14,10,24
2020,2,Sanma,43,49,92
2020,2,Penama,30,28,58
2020,2,Malampa,25,20,45
2020,2,Shefa,50,48,98
2020,2,Tafea,21,30,51
2020,3,Torba,81,102,183
2020,3,Sanma,445,491,936
2020,3,Penama,237,268,505
2020,3,Malampa,281,247,528
2020,3,Shefa,687,664,1351
2020,3,Tafea,382,392,774
2020,4,Torba,150,150,300
2020,4,Sanma,695,779,1474
2020,4,Penama,426,487,913
2020,4,Malampa,566,588,1154
2020,4,Shefa,976,1051,2027
2020,4,Tafea,604,666,1270
2020,5,Torba,70,74,144
2020,5,Sanma,439,486,925
2020,5,Penama,216,219,435
2020,5,Malampa,310,322,632
2020,5,Shefa,581,662,1243
2020,5,Tafea,247,306,553
2020,6,Torba,8,7,15
2020,6,Sanma,42,61,103
2020,6,Penama,18,29,47
2020,6,Malampa,24,24,48
2020,6,Shefa,70,99,169
2020,6,Tafea,40,25,65
2020,7,Torba,1,2,3
2020,7,Sanma,7,13,20
2020,7,Penama,5,5,10
2020,7,Malampa,2,1,3
2020,7,Shefa,3,2,5
2020,7,Tafea,12,12,24
2020,8,Torba,0,0,0
2020,8,Sanma,9,14,23
2020,8,Penama,2,2,4
2020,8,Malampa,1,1,2
2020,8,Shefa,2,2,4
2020,8,Tafea,1,3,4
2020,9,Torba,0,1,1
2020,9,Sanma,4,3,7
2020,9,Penama,1,1,2
2020,9,Malampa,1,1,2
2020,9,Shefa,1,2,3
2020,9,Tafea,0,1,1
2020,10,Torba,0,0,0
2020,10,Sanma,1,0,1
2020,10,Penama,0,1,1
2020,10,Malampa,0,0,0
2020,10,Shefa,1,1,2
2020,10,Tafea,0,0,0
2020,11,Torba,0,0,0
2020,11,Sanma,1,1,2
2020,11,Penama,0,0,0
2020,11,Malampa,0,0,0
2020,11,Shefa,0,1,1
2020,11,Tafea,0,0,0
