country,HPI,Life Expectancy in Years,Ladder Of Life,Ecological Footprint
Costa Rica,62.1,80.3,7,2.65
Vanuatu,60.4,70.5,6.96,1.62
Colombia,60.2,77.3,6.35,1.9
Switzerland,60.1,83.8,7.69,4.14
Ecuador,58.8,77,5.81,1.51
Guatemala,57.9,74.3,6.26,1.77
Panama,57.9,78.5,6.09,2.1
Jamaica,57.9,74.5,6.31,1.84
Honduras,57.7,75.3,5.93,1.58
Uruguay,57.5,77.9,6.6,2.62
New Zealand,57.4,82.3,7.21,3.87
Philippines,57.1,71.2,6.27,1.5
El Salvador,56.3,73.3,6.45,2.06
United Kingdom,56,81.3,7.16,3.95
Peru,55.9,76.7,6,2.09
Tajikistan,55.2,71.1,5.46,0.96
Nicaragua,55.2,74.5,6.11,2.04
Netherlands,54.9,82.3,7.43,4.59
Dominican Republic,54.8,74.1,6,1.93
Armenia,54.7,75.1,5.49,1.52
Brazil,54.6,75.9,6.45,2.68
Bangladesh,54.5,72.6,5.11,0.88
Mexico,54.3,75,6.43,2.58
Uzbekistan,54.1,71.7,6.15,1.88
Kyrgyzstan,53.7,71.5,5.69,1.44
Serbia,53.2,76,6.24,2.69
Nepal,53.1,70.8,5.45,1.2
Thailand,52.9,77.2,6.02,2.66
Germany,52.7,81.3,7.04,4.44
Spain,52.3,83.6,6.46,4.14
France,51.8,82.7,6.69,4.41
Mauritius,51.5,75,6.24,2.85
Finland,51.3,81.9,7.78,5.76
Senegal,51.2,67.9,5.49,1.15
Ireland,51.1,82.3,7.25,5.2
Moldova,51,71.9,5.8,2.04
Albania,51,78.6,5,1.95
Morocco,50.9,76.7,5.06,1.82
Norway,50.9,82.4,7.44,5.51
Italy,50.7,83.5,6.45,4.45
Sweden,50.5,82.8,7.4,5.61
Argentina,50,76.7,6.09,3.19
Indonesia,49.6,71.7,5.35,1.74
Cyprus,49.4,81,6.14,3.97
Venezuela,48.9,72.1,5.08,1.59
Greece,48.8,82.2,5.95,4.04
Vietnam,48.4,75.4,5.47,2.56
Occupied Palestine,48.2,83,7.33,6.11
Cambodia,48,69.8,5,1.36
Azerbaijan,48,73,5.17,1.97
Iceland,48,83,7.53,6.46
Slovenia,47.9,81.3,6.67,5.05
Bosnia and Herzegovina,47.8,77.4,6.02,3.65
Paraguay,47.6,74.3,5.65,2.8
Japan,47.1,84.6,5.91,4.71
Sri Lanka,46.8,77,4.21,1.5
Czech Republic,46.8,79.4,6.97,5.4
Austria,46.8,81.5,7.2,6.05
Slovakia,46.6,77.5,6.24,4.22
Algeria,46.5,76.9,4.74,2.22
Portugal,46.3,82,6.1,4.78
Romania,46.2,76,6.13,3.93
Croatia,46.2,78.5,5.63,3.64
Liberia,46,64.1,5.12,1.07
Chile,45.6,80.2,5.94,4.44
Singapore,45.5,83.6,6.38,5.6
Hungary,45.4,76.9,6,4.07
Iraq,45.3,70.6,4.84,1.74
Denmark,45.3,80.9,7.69,7.05
Kenya,45.2,66.7,4.62,0.99
Pakistan,45.1,67.3,4.44,0.87
Poland,45,78.7,6.24,4.77
Bolivia,45,71.5,5.67,2.94
Uganda,44.8,63.4,4.95,0.99
Yemen,44.6,66.1,4.2,0.52
Georgia,44.3,73.8,4.89,2.43
